major,required_courses
Biochemical_Engineering,PHY102_CY101_MA102_ME103_ME104_ME105_PHY101_CY103_CSO101_BC101_ME106_CHO102_EO102_CHO202_BC201_BC291_MA201_BC211_BC323_BC312_BC301_BC332
Biomedical_Engineering,
Ceramic_Engineering,
Chemical_Engineering,
Civil_Engineering,
ComputerScience_Engineering,
Electrical_Engineering,
Electronics_Engineering,
Engineering_physics,
Industrial_chemistry,
MaterialScienceand_Technology,
Mathematics_and_Computing
Mechanical_Engineering,
Metallurgical_Engineering,
Mining_Engineering,
Pharmaceutical_Engineering,
